"","river","climate","winter_mean_past","spring_mean_past","summer_mean_past","fall_mean_past","total_mean_past","total_min_past","total_max_past","total_Q_past","total_Q_min_past","total_Q_max_past","av_DOC_past","winter_mean_fut","spring_mean_fut","summer_mean_fut","fall_mean_fut","total_mean_fut","total_min_fut","total_max_fut","total_Q_fut","total_Q_min_fut","total_Q_max_fut","av_DOC_fut"
"12","Angerman","D",0.00875813758979717,0.0607019807813453,0.0472333384581716,0.0215161208760595,0.138209577705374,0.13133245258377,0.145086702826977,15.5726725488932,14.7989089684318,16.3464361293545,7.6468609771439,0.0128453653020373,0.0710846820430119,0.0373694631116881,0.0243968899156834,0.145696400372421,0.129696793310496,0.163555202333525,16.5769982366584,15.5752761342898,17.578720339027,7.94103359360032
"13","Apalachicola","C",0.0412310681649776,0.0250251330307081,0.00884174196215244,0.00900360628754024,0.0841015494453784,0.0733938866233556,0.0948092122674012,22.877691843315,19.9605169279239,25.7948667587062,3.25396436769248,0.0438351030835096,0.0270123087581448,0.00886216786635493,0.00944651686704221,0.0891560965750516,0.0779951946260173,0.10045479257079,23.8982992597628,20.998185292829,26.7984132266967,3.30428274984632
"14","Araguari","A",0.088407137401952,0.107946525746031,0.0215835824786179,0.00270983409439606,0.220647079720997,0.189163636412459,0.252130523029534,52.2683781025397,44.8035600877566,59.7331961173229,3.29433550541161,0.0864323938082109,0.102221493151834,0.0187878911017164,0.00346283790972206,0.210904615971484,0.179921594556074,0.242260167678528,49.9948886474923,42.8063828386674,57.1833944563171,3.23684477353875
"15","Armeria","A",0.000151586995918969,0.000433714420315132,0.00462505023431206,0.00202246016667981,0.00723281181722598,0.00624205753134431,0.00822356610310765,1.99181891746973,1.72576736495348,2.25787046998599,2.28895914485279,0.000124272209155363,0.000456395798191455,0.00459821849033011,0.00199660873380184,0.00717549523147877,0.00607734758878747,0.00830077571438296,1.94710602924178,1.67158137416196,2.2226306843216,2.26569097918885
"16","Arnaud","E",0.000665935484934304,0.0520620590656396,0.0293069643965691,0.00688061903073999,0.088915577977883,0.0773940116149644,0.100437144340802,16.6875317525603,14.7017966915924,18.6732668135283,2.48208883497139,0.00110465592488845,0.0681380057677036,0.0189297867618339,0.0133065354731238,0.10147898392755,0.0818927698641109,0.122514309847016,18.9425969712429,16.4501038516206,21.4350900908652,2.94612502375919
"17","Ashburton","B",0.000126266112409736,0.00081808710996078,0.000174018714915593,1.80913082522751e-06,0.00112018106811134,0.000710715573100857,0.00152964656312181,0.650768997141325,0.438129980297593,0.863408013985058,0.313428502229054,0.000275104872900918,0.000282159633376258,4.39941750946489e-05,4.0907515652319e-07,0.000601667756528348,0.000373471940389275,0.000844568752471099,0.394733237336601,0.263896462998038,0.525570011675164,0.214565917545428
"18","Asi Nehri","C",0.022607938838762,0.00912715429771636,0.000607686399561716,0.00524616400690235,0.0375889435429424,0.0336640361631967,0.0415138509226881,9.04855058400222,8.09513318387149,10.001967984133,3.13157345819371,0.0169590895977479,0.00736314098184902,0.00062982930451089,0.00515099839336892,0.0301030582774767,0.0262741104316821,0.0339859355314326,7.49912222867157,6.5898956800335,8.40834877730965,3.06387085415204
"19","Atrato","A",0.00408453150875262,0.0121071375425962,0.0122881110900158,0.0130616561877031,0.0415414363290677,0.0372855241309697,0.0457973485271658,10.7515661484504,9.61936885256571,11.8837634443351,3.56424355971629,0.00459048848212468,0.0119489566198449,0.0126722147839575,0.0137587472986965,0.0429704071846236,0.0377758190520227,0.0485907823899831,11.252613311419,10.0342629767547,12.4709636460834,3.55117573030974
"20","Attawapiskat","D",0.0107845471313839,0.304735831253843,0.0535380077267921,0.0728480968620659,0.441906482974085,0.399289620681356,0.484523345266813,28.022367937319,25.3181847283647,30.7265511462733,11.5554022390724,0.0161727727548144,0.297488296907095,0.0547311081237834,0.0955724435154156,0.463964621301108,0.392977708455629,0.541026752814821,29.8365536388559,26.7199201286943,32.9531871490176,12.2918370291854
"21","Bandama","A",0.00885445813855795,0.0192825084972358,0.0417010731600636,0.0345097165024917,0.104347756298349,0.0954113356806323,0.113284176916066,29.2209370213261,26.7249852467713,31.7168887958809,3.26395968800945,0.00879570992036481,0.0171287400429934,0.0440850585461899,0.0386441990111644,0.108653707520713,0.0983702787307155,0.119056568514147,30.1326686446941,27.4571192017311,32.8082180876571,3.28165245165867
"22","Bann","C",0.00716542488563637,0.0036923703804463,0.0010848996897071,0.0033235023318872,0.015266197287677,0.0144351269368286,0.0160972676385253,3.9030858140416,3.68474816761026,4.12142346047294,3.60231454536133,0.00745530029998699,0.0035305771293333,0.00111799790410728,0.00370703730184335,0.0158109126352709,0.0147336804100411,0.0169247017251146,4.00602594740223,3.77566964730909,4.23638224749536,3.6353292866685
"23","Barrow","C",0.00191304125454656,0.000897976480720307,0.000177547189378728,0.000614717571767198,0.00360328249641279,0.00341406955191487,0.00379249544091072,0.827734351247755,0.782195653736654,0.873273048758855,3.68526293024358,0.00213801568346792,0.000904215792269236,0.00017952836975563,0.000726843881759877,0.00394860372725267,0.00362120159926496,0.0043018499142011,0.863015418207972,0.814843516888146,0.911187319527799,3.85318752578247
"24","Bengawan Solo","A",0.040930454106649,0.0175606211280279,0.00157691848701456,0.0124754577820541,0.0725434515037457,0.0640938290181829,0.0809930739893083,16.5346407483166,14.5779163009155,18.4913651957178,3.56745165647984,0.0440954326041613,0.0188665388493821,0.00108879545352008,0.0114251090092026,0.075475875916266,0.066028321488602,0.08525472791293,17.0567874047999,15.0286038911991,19.0849709184008,3.48748441750629
