"","river","climate","latitude","winter_mean_past","spring_mean_past","summer_mean_past","fall_mean_past","total_mean_past","total_min_past","total_max_past","total_Q_past","total_Q_min_past","total_Q_max_past","av_DOC_past","winter_mean_fut","spring_mean_fut","summer_mean_fut","fall_mean_fut","total_mean_fut","total_min_fut","total_max_fut","total_Q_fut","total_Q_min_fut","total_Q_max_fut","av_DOC_fut"
"196","Palena","C",-43.9,0.000381685947978828,0.00264418238892073,0.00446044434206782,0.00289416687260314,0.0103804795515705,0.00957999953537654,0.0111809595677645,3.13530837076098,2.88610605508431,3.38451068643765,2.68754866308552,9.5755821895716e-05,0.00153114700523147,0.00431629558860161,0.000811761277656888,0.00675495969338569,0.00616858571988826,0.00735988872636716,2.10846352612206,1.94417184595126,2.27275520629286,2.1813061682883
"197","Palyavaam","D",68.8,0.000117547118379056,0.0140184490169947,0.0134940117729921,0.000740964443613353,0.0283709723519792,0.0257083500765978,0.0310335946273605,5.95601674789997,5.38173382443391,6.53029967136603,1.98131496112908,0.00163715164538343,0.0433238685126613,0.00990824885577374,0.0047615193171195,0.0596307883309379,0.0458101993024243,0.0758069801801318,10.2316463260112,8.71134664203903,11.7519460099835,3.50995562077466
"198","Pangani","A",-5.4,0.00332027596498355,0.0140813421957317,0.00247334507675728,0.00345619354123122,0.0233311567787038,0.0199515315277428,0.0267107820296648,7.45751308220462,6.4154372839352,8.49958888047404,2.56930746548031,0.00439110698940375,0.0166030991572177,0.00256678830618216,0.0039345279588165,0.0274955224116201,0.0219051741232126,0.0333783508867253,8.31204845216635,6.78378144037496,9.84031546395773,2.71648580779698
"199","Panuco","C",22.22,0.00222297407536712,0.00816566842945749,0.0422348009731818,0.0250005403055381,0.0776239837835445,0.0645721323762603,0.0906758351908286,19.5889397499097,16.3526518676064,22.825227632213,2.89023582088727,0.00140741981080636,0.00575272858076117,0.0355740202491868,0.0322417381219379,0.0749759067626922,0.0577643959073112,0.0941718034658282,17.9883114139189,14.4025874966825,21.5740353311552,2.74628200696777
"200","Papaloapan","A",18.68,0.00788400382868245,0.0265228476811356,0.151182212952307,0.0644639192266372,0.250052983688763,0.215155489530239,0.284950477847286,58.3255963720233,50.1869742624932,66.4642184815534,3.57208751559613,0.00518075855224729,0.0152596348097076,0.0779955376790196,0.0709884420469877,0.169424373087962,0.137195265882097,0.20277954118723,39.9216749782018,32.6720861943686,47.171263762035,3.40707997619135
"201","Paraguacu","B",-12.56,0.0217230713299927,0.00799044050896957,0.00244632532051706,0.00832457377987101,0.0404844109393504,0.0294464130631167,0.051522408815584,11.5886067485029,8.60072234099479,14.5764911560111,2.52766034675405,0.0397025223195425,0.00898178382576875,0.00103640900767202,0.00679845214825759,0.0565191673012409,0.0370026318873179,0.0786907861529019,14.1342435209593,9.73619474225604,18.5322922996626,2.31940686342758
"202","Paraiba do Norte","B",-7.04,0.00133814787540257,0.00617538609892878,0.00427918154927783,0.000338243922893941,0.0121309594465031,0.0101328315309537,0.0141290873620525,3.590869550995,3.02606870633328,4.15567039565671,2.55149947609226,0.00162680056629191,0.00730630713671858,0.00196613518025984,0.000204913817921614,0.0111041567011919,0.00814761938742675,0.0145475755065381,3.27836810909435,2.5435750785377,4.01316113965101,2.40725068348602
"203","Paraiba do Sul","A",-21.67,0.0652070695648158,0.0162773502207642,0.00329259611977356,0.0239875855499297,0.108764601455283,0.0897728186338182,0.127756384276748,28.1623438668928,23.2908928346007,33.0337948991849,3.1132847255111,0.0590054174689725,0.0129384916135488,0.00191587217961521,0.0167712307923482,0.0906310120544847,0.0717244282602663,0.110170722061465,23.9745877089378,19.185985002946,28.7631904149296,2.81580751184181
"204","Parana","C",-33.73,1.11714139439776,0.630538481134032,0.20046017416371,0.537773101104846,2.48591315080034,2.20962170908959,2.7622045925111,725.70974980248,644.253865874335,807.165633730625,3.0886171179112,1.08285033370271,0.574499366415494,0.162243972805435,0.424129658797313,2.24372333172095,1.93693116933897,2.55989894791272,647.013029706344,562.701664824893,731.324394587795,3.02318106379538
"205","Pardo","A",-15.67,0.0581776779368476,0.0098917431173824,0.00258873923316349,0.0417465698226451,0.112404730110039,0.0841470953839062,0.140662364836171,26.4462094754406,19.9053378263082,32.987081124573,3.37198929963181,0.0680437163977319,0.0102608891096707,0.00133948335769719,0.0296938043906942,0.109337893255794,0.0751734211341171,0.145744846102423,24.9059844808786,17.547378087499,32.2645908742583,3.1637897228826
